review_id,region,raw_source_location,source_type,proposed_use,required_scope_decision,reviewer_id,review_date,status,decision,issue_notes
NBS_2020_GROUPED_AGE_SCREEN,Nationwide,datasets/raw/national_china/census_2020/,population_census_table,source_screening,confirm_not_3_5_or_3_6_compatible,Barnabe-Zihan-Ding,2026-07-30,review_completed,confirmed_not_definition_compatible,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/15. The archived image hash, dimensions, official URLs, table title, geographic level, unit, and visible age headers were checked. The youngest groups are 0, 1-4, and 5-9; the table provides neither single-year ages 3, 4, and 5 nor a compatible 3-5 or 3-6 group. The grouped values cross preschool-age boundaries and cannot be decomposed without unsupported assumptions. Do not stage or process this source as a strict preschool-age population variable."
GD_2025_POP_SAMPLE_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2025_population_sample_survey/official_statistics_bureau_bulletin/,population_sample_survey_bulletin,source_screening,confirm_not_3_5_or_3_6_compatible,Barnabe-Zihan-Ding,2026-07-30,review_completed,confirmed_not_definition_compatible,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/17. The PDF hash, official page, survey reference point, complete text layer, and both rendered pages were checked. The bulletin reports 0-14 population of 2,191 ten-thousand persons and additionally notes a 0-15 total of 2,349 ten-thousand persons, but it provides neither single-year ages 3, 4, and 5 nor a compatible 3-5 or 3-6 group. These broad values cannot be decomposed without unsupported assumptions. Do not stage or process them as a strict preschool-age population variable."
GD_2023_FUND_ALLOCATION,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2023_preschool_development_fund/official_provincial_finance_notice/,central_transfer_allocation,policy_simulation_parameter,confirm_transfer_payment_not_actual_provincial_expenditure,Barnabe-Zihan-Ding,2026-07-29,review_completed,confirmed_policy_simulation_candidate,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/9. Both attachment hashes, visible values, units, and scopes were confirmed. Attachment 1 totals 41,000,000.00 yuan across eight listed municipal allocations. Attachment 2 reports an annual total of 17,430 in 10,000 yuan, comprising 13,330 advanced and 4,100 supplementary. Attachment 1's 41,000,000 yuan equals the 4,100 (10,000 yuan) supplementary component and must not be added again to the annual total. These are central transfer-payment programme parameters, not Guangdong's total preschool expenditure."
GD_2017_FINAL_ACCOUNTS_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/provincial_general_budget_final_accounts/official_provincial_finance_notice/,provincial_general_budget_final_accounts,source_screening,confirm_no_preschool_specific_expenditure_field,Barnabe-Zihan-Ding,2026-07-30,review_completed,return_for_correction,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/13. The raw PDF contradicts the current README and manifest screening result: document page 6 explicitly contains a 学前教育 row with 2017 budget 4,816, adjusted budget 4,816, and final accounts 4,778 (10,000 yuan). The table does not display classification codes, but absence of visible 20502 does not negate the named preschool field. The values cover provincial-level expenditure only, not total Guangdong-wide preschool expenditure. Correct the README, manifest keyword result, definition analysis, and proposed use before renewed review; do not stage or process the value yet."
GD_2017_FINAL_ACCOUNTS_CORRECTION_RECHECK,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/provincial_general_budget_final_accounts/official_provincial_finance_notice/,provincial_general_budget_final_accounts,context_reference,confirm_corrected_preschool_field_values_and_provincial_level_scope,Barnabe-Zihan-Ding,2026-07-30,review_completed,confirmed_context_only,"Independent correction re-review: https://github.com/AvelineChuk/OpenPreEduLab/issues/33. The corrected README and manifest now agree with the retained PDF whose SHA-256 is 899213582c92a23d64ec51895158a4028f19e7caea91e83d016bba7b2a1778dd. Visual and text-layer review of page 6 confirmed the title 2017 Guangdong provincial-level general public-budget expenditure final-accounts table, unit of 10,000 yuan, and 学前教育 values of 4,816 budget, 4,816 adjusted budget, and 4,778 final accounts. These values cover provincial-level expenditure only, not a consolidated Guangdong-wide total, and are a single-year narrow fiscal reference rather than a complete panel or PRAI input. The original Issue #13 return_for_correction row remains unchanged as audit history. No value was staged or processed."
GD_2019_FINAL_ACCOUNTS_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2019_provincial_final_accounts/official_provincial_finance_notice/,provincial_general_budget_final_accounts,context_reference,confirm_provincial_level_preschool_field_values_and_scope,Barnabe-Zihan-Ding,2026-08-01,review_completed,confirmed_context_only,"Independent hash, text-layer, and rendered-page review confirmed PDF SHA-256 f8779f386f664172f49a6453932e1f366d6139ec02093dd13dc42ea3184bb3e4. Table 5 is on PDF page 17 and printed table page 13, titled 2019 Guangdong provincial-level general public-budget expenditure final-accounts table by functional classification, unit 10,000 yuan. The visible 学前教育 row is 6,893 budget, 6,893 adjusted budget, and 7,094 final accounts. Scope is 省本级 only, not a consolidated Guangdong-wide total. It is a narrow single-year fiscal context reference and must not be staged, processed, or used as a PRAI fiscal input."
GD_2020_FINAL_ACCOUNTS_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2020_provincial_final_accounts/official_provincial_finance_notice/,provincial_general_budget_final_accounts,context_reference,confirm_provincial_level_preschool_field_values_and_scope,Barnabe-Zihan-Ding,2026-08-01,review_completed,confirmed_context_only,"Independent hash, text-layer, and rendered-page review confirmed PDF SHA-256 25b72c8b1f7ae2a077114c6165aaf9b8124bb385e5277c243c13d52b2c49e6f0. Table 5 is on PDF page 20 and printed table page 16, titled 2020 Guangdong provincial-level general public-budget expenditure final-accounts table by functional classification, unit 10,000 yuan. The visible 学前教育 row is 6,861 budget, 6,861 adjusted budget, and 8,585 final accounts. Scope is 省本级 only, not a consolidated Guangdong-wide total. Context only; do not use as total Guangdong preschool expenditure or a PRAI fiscal input."
GD_YEARBOOK_2025_TABLE_3_4_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2025_statistical_yearbook/Guangdong_Statistical_Yearbook_2025.zip,population_statistical_yearbook_table,source_screening,confirm_not_3_5_or_3_6_compatible,Barnabe-Zihan-Ding,2026-08-01,review_completed,confirmed_not_definition_compatible,"ZIP SHA-256 1415924265864a3039a2a2758082b3e3def48dcdcc38f8da3415e91b24d6a94e matches the manifest. Entry directory/03/html/03-04.htm is titled 3-4 Age Composition and Dependency Ratio of Permanent Population, unit 10,000 persons and percent, and exposes only ages 0-14, 15-64, and 65 and over. It cannot yield strict ages 3-5 or 3-6 without unsupported splitting or interpolation."
GD_YEARBOOK_2025_TABLE_8_2_SCREEN,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2025_statistical_yearbook/Guangdong_Statistical_Yearbook_2025.zip,government_budget_statistical_yearbook_table,context_reference,confirm_general_education_not_preschool_specific,Barnabe-Zihan-Ding,2026-08-01,review_completed,confirmed_context_only,"ZIP SHA-256 1415924265864a3039a2a2758082b3e3def48dcdcc38f8da3415e91b24d6a94e matches the manifest. Entry directory/08/html/08-02.htm is titled 8-2 Basic Statistics on Local General Public Budget Revenue and Expenditure, unit 100 million yuan. It contains a general Education expenditure row but no preschool or kindergarten sub-item. It is context-only and cannot be a PRAI fiscal input."
GD_2022_FUND_PERFORMANCE,Guangdong,datasets/raw/provincial_china_2015_2025/guangdong/2022_preschool_development_fund_performance/official_education_department_self_evaluation/,central_transfer_performance_report,policy_simulation_parameter,confirm_programme_scope_and_visible_amounts,Barnabe-Zihan-Ding,2026-07-28,review_completed,confirmed_policy_simulation_candidate,"Independent review: https://github.com/AvelineChuk/OpenPreEduLab/issues/1. PDF checksum and visible values confirmed: programme funding 21,000; expenditure 10,725.63; execution rate 51.07%; 15,570 + 5,430 = 21,000 (all monetary values in 10,000 yuan). Scope is limited to the central preschool-development transfer-payment programme, not total Guangdong preschool expenditure."
