variable_name,prai_dimension,required_geographic_level,required_period,preferred_source_family,candidate_official_source,status,quality_requirements
resident_preschool_age_population,Educational Demand,provincial,2015-2025,"National Bureau of Statistics and provincial statistical yearbooks","National Bureau of Statistics China Statistical Yearbook; provincial statistical bureaus",source_discovery_in_progress,"consistent preschool-age definition; administrative boundary check; annual continuity check"
resident_target_age_children_enrolled,Educational Demand,provincial,2015-2025,"Ministry of Education and provincial education statistical bulletins","Ministry of Education; provincial education departments",source_discovery_in_progress,"resident-versus-enrolled-location definition; numerator cannot exceed population without documented cross-boundary rationale"
enrolled_children,Educational Demand,provincial,2015-2025,"Ministry of Education and provincial education statistical bulletins","Ministry of Education; provincial education departments",source_discovery_in_progress,"consistent institution scope; cross-check with national aggregate"
licensed_preschool_places,Material Resources,provincial,2015-2025,"Provincial education statistical bulletins or administrative data","Provincial education departments",source_discovery_in_progress,"licensed-place definition; check capacity relative to enrolment"
usable_indoor_area_sqm,Material Resources,provincial,2015-2025,"Provincial education statistics or authorised administrative data","Provincial education departments",source_discovery_in_progress,"common area definition; unit consistency; outlier audit"
class_count,Material Resources,provincial,2015-2025,"Provincial education statistical bulletins","Provincial education departments",source_discovery_in_progress,"institution and class definition consistency"
fte_teacher_count,Human Resources,provincial,2015-2025,"Ministry of Education and provincial education statistics","Ministry of Education; provincial education departments",source_discovery_in_progress,"FTE conversion rule; non-negative count; annual continuity"
qualified_teacher_rate_pct,Human Resources,provincial,2015-2025,"Provincial education statistics","Provincial education departments",source_discovery_in_progress,"qualification standard documented; percentage in 0-100 range"
government_expenditure_per_child_yuan,Financial Resources,provincial,2015-2025,"Provincial finance statistics plus education expenditure tables","Ministry of Finance; provincial finance departments",source_discovery_in_progress,"price year; public-expenditure scope; numerator and child denominator harmonised"
stable_public_funding_share_pct,Financial Resources,provincial,2015-2025,"Provincial finance statistics","Provincial finance departments",source_discovery_in_progress,"definition of regular public-budget sources; percentage in 0-100 range"
eligible_children_seeking_place,Educational Demand,provincial,2015-2025,"Authorised enrolment registration or representative survey data","Provincial education departments",not_yet_identified,"clear demand definition; avoid substituting population for expressed demand"
eligible_children_seeking_but_not_enrolled,Educational Demand,provincial,2015-2025,"Authorised enrolment registration or representative survey data","Provincial education departments",not_yet_identified,"must not exceed eligible children seeking a place; source and measurement rule required"
